feature,setter,first_chip,first_isa_version,H11,H12,H13,H14,H15,H16,H17,H18,H19,unmapped_isa_versions_seen,evidence_at_first_real
TextureCropBatchSplit,SetTextureCropBatchSplit,H16,17,n/a,n/a,n/a,STUB,STUB,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bb9c308
TextureCropCfg,SetTextureCropCfg,H14,11,n/a,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bb9a7b0
TextureCropCoeff,SetTextureCropCoeff,H14,11,n/a,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bb9ad18
TextureDepthValue,SetTextureDepthValue,H14,11,n/a,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bb9adec
TextureExtMax,SetTextureExtMax,H14,11,n/a,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bb99d18
TextureFilter,SetTextureFilter,H14,11,n/a,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bb99e0c
TextureGroupValue,SetTextureGroupValue,H14,11,n/a,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bb9ad24
TextureIdxPermute,SetTextureIdxPermute,H14,11,n/a,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bb9a4c8
TextureIndPermute,SetTextureIndPermute,H14,11,n/a,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bb9a1e0
TextureIndexTensorInterleave,SetTextureIndexTensorInterleave,H14,11,n/a,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bb99e80
TextureMode,SetTextureMode,H14,11,n/a,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bb99bbc
TextureNormalization,SetTextureNormalization,H14,11,n/a,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bb99c3c
TexturePreserveFraction,SetTexturePreserveFraction,H16,17,n/a,n/a,n/a,STUB,STUB,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bb9b200
TextureSrcPermute,SetTextureSrcPermute,H14,11,n/a,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bb99ef8
TextureWrap,SetTextureWrap,H14,11,n/a,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bb99e60
TileDmaDstAtomicEn,SetTileDmaDstAtomicEn,H13,7,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bccdabc
TileDmaDstCompressedInfo,SetTileDmaDstCompressedInfo,H15,8,n/a,n/a,STUB,STUB,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bcd2ac4
TileDmaDstCompressedSize,SetTileDmaDstCompressedSize,H15,8,n/a,n/a,NOOP,NOOP,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bcd2a28
TileDmaDstandL2DstFifoMode,SetTileDmaDstandL2DstFifoMode,H13,7,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bccd7d0
TileDmaDstandL2DstInterleave,SetTileDmaDstandL2DstInterleave,H13,7,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,REAL,1;10;26;28;31;36,addr=0x20bccd6d4
TileDmaSrc1CompressedInfo,SetTileDmaSrc1CompressedInfo,H13,7,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bccd1e8
TileDmaSrc1CompressedSize,SetTileDmaSrc1CompressedSize,H13,7,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bccd278
TileDmaSrc1DoubleRateMode,SetTileDmaSrc1DoubleRateMode,H19,24,n/a,n/a,STUB,STUB,STUB,STUB,STUB,STUB,REAL,10;26;28;31;36,addr=0x20bcf0438
TileDmaSrc1FIFOMode,SetTileDmaSrc1FIFOMode,H17,19,n/a,n/a,STUB,STUB,STUB,STUB,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bce4928
TileDmaSrc1Interleave,SetTileDmaSrc1Interleave,H13,7,n/a,n/a,REAL,REAL,REAL,REAL,REAL,REAL,REAL,10;26;28;31;36,addr=0x20bccccd8
